scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,200,-1043353.25,-678840.3500000001,-0.0160394702437654,1,3,18,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,200,-840289.5,-697186.5499999999,-0.0181855197462825,0,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,200,-1442397.5,-852322.15,0.0051281935479438,1,3,8,29,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,200,-2391832.0,-1565043.15,-0.0344646405132738,0,3,16,30,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,500,-344478.25,-673337.6500000004,-0.0326226580072364,1,3,6,22,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,500,308751.75,572342.3499999996,0.0326226580072364,2,3,16,22,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,500,-790014.5,-1225319.9999999998,-0.0470981892533103,1,3,11,24,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,500,754805.5,1125780.0000000002,0.0470981892533103,2,3,13,24,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,500,-1441855.0,-742574.55,0.0310704329483234,2,3,18,28,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,500,-4768590.25,-2431350.0000000005,-0.0289821796855424,0,3,2,25,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,500,-3040833.5,-1254112.500000001,0.0436607391150946,2,3,12,23,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,category_mean_reversion,category/basket,1,-24722.0,-63547.5,0.003298812364292,0,1,2,8,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,category_median_reversion,category/basket,1,-24573.75,-65775.35,0.0023866819063764,0,1,3,9,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,semantic_curve_residual,semantic/name-curve,1,-24722.0,-63547.5,0.003298812364292,0,1,2,8,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,basket_residual,category/basket,1,-24722.0,-63547.5,0.003298812364292,0,1,2,8,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,pca_factor_residual,factor/research-only,1,-24722.0,-63547.5,0.003298812364292,0,1,2,8,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,order_book_imbalance,microstructure,1,35960.5,30058.1,0.0587543870752197,3,3,28,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,microprice_edge,microstructure,1,35960.5,30058.1,0.057353189596276,3,3,28,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,spread_depth_imbalance,microstructure,1,35960.5,30058.1,0.0591825784048789,3,3,28,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_DARK_MATTER,lead-lag,1,-20718.0,-59395.65,-0.0081959419585708,0,3,8,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_PLANETARY_RINGS,lead-lag,1,-25353.75,-67206.4,-0.0007496092764743,0,3,8,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_SOLAR_WINDS,lead-lag,1,-31386.75,-54612.350000000006,-0.0047429039405862,0,3,8,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_SOLAR_FLAMES,lead-lag,1,-22684.25,-63159.24999999999,0.0002889080298529,0,3,11,30,1
full,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,momentum,statistical/time-series,1,-32614.25,-67395.04999999999,-0.0040041585593144,0,3,5,30,1
full,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,reversal,statistical/time-series,1,-5574.25,-40505.05,0.0040041585593144,1,3,13,30,1
full,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,1,-21416.0,-61073.2,-0.0030529431710269,0,3,7,30,1
full,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,1,-15476.0,-42213.2,0.0030529431710269,0,3,10,30,1
full,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,1,0.0,0.0,0.0,0,0,0,0,0
full,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,breakout_high,breakout,1,-32614.25,-67395.04999999999,-0.0039993608187734,0,3,5,30,1
