scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,500,1932811.5,1130497.7999999996,0.08801004533770475,2,3,20,28,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,500,-1201728.25,-979191.1000000003,-0.08258327637394224,1,3,7,25,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,500,2183201.25,1467826.1999999993,0.12258409785344378,3,3,20,25,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,category_mean_reversion,category/basket,1,-14457.75,-44584.35,0.011005269673897554,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,category_median_reversion,category/basket,1,-17158.5,-44111.549999999996,0.011514912251848624,0,2,1,9,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,semantic_curve_residual,semantic/name-curve,1,-14457.75,-44584.35,0.011005269673897554,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,basket_residual,category/basket,1,-14457.75,-44584.35,0.011005269673897554,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,pca_factor_residual,factor/research-only,1,-14457.75,-44584.35,0.011005269673897554,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,order_book_imbalance,microstructure,1,28082.5,22794.5,0.052424688977176725,3,3,29,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,microprice_edge,microstructure,1,28082.5,22794.5,0.05106062012803407,3,3,29,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,spread_depth_imbalance,microstructure,1,28082.5,22794.5,0.05224976094052743,3,3,29,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_BLACK_HOLES,lead-lag,1,-25406.75,-53095.5,-0.004846160334385001,0,3,10,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_PLANETARY_RINGS,lead-lag,1,-23390.5,-58970.2,-0.0032328567564054475,0,3,8,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_SOLAR_WINDS,lead-lag,1,-45763.25,-61556.649999999994,-0.016431339243449118,0,3,4,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_SOLAR_FLAMES,lead-lag,1,-23982.75,-52091.09999999999,-0.0075065042670108325,0,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,1,-38517.25,-69137.6,-0.016677724008802085,0,3,5,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,1,-1337.25,-44707.6,0.016677724008802085,2,3,15,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,1,-41179.5,-62555.0,-0.015593707518205394,0,3,3,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,1,2010.5,-47065.0,0.015593707518205394,2,3,17,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,1,0.0,0.0,0.0,0,0,0,0,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,1,-38517.25,-69137.6,-0.016699796166519346,0,3,5,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,1,-1337.25,-44707.6,0.016699796166519346,2,3,15,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,2,-10507.0,-49670.0,-0.004235642514737035,1,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,2,-29457.0,-66460.0,0.004235642514737035,1,3,11,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,2,-21179.5,-47236.9,-0.0061993452340698765,1,3,11,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,2,-17989.5,-62336.9,0.0061993452340698765,1,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,2,-19969.5,-64110.8,0.009127197298984582,1,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,2,-31419.25,-64779.00000000001,-0.006064448075952323,0,3,7,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,2,-35518.5,-78231.35,0.006939781656852681,0,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,5,12871.0,-26242.799999999996,0.016461596448175513,1,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,5,-52779.0,-86182.8,-0.016461596448175513,0,3,12,30,1
