product,max_drawdown,min_pnl,max_pnl,strategy,scope,category,component
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,round5_candidate_21.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_SOLAR_WINDS,0.0,0.0,0.0,round5_candidate_21.py,portal,GALAXY_SOUNDS,other
MICROCHIP_CIRCLE,0.0,0.0,0.0,round5_candidate_21.py,portal,MICROCHIP,other
MICROCHIP_OVAL,-1210.0,-319.5,3406.0,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_RECTANGLE,0.0,0.0,0.0,round5_candidate_21.py,portal,MICROCHIP,unresolved_non_pebbles
MICROCHIP_SQUARE,-2030.0,-440.0,5682.0,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,-2510.0,-1660.0,1190.0,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_CHOCOLATE,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_EVENING_BREATH,-1720.0,-300.0,1590.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,long_horizon_non_pebbles
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MORNING_BREATH,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
PANEL_1X2,0.0,0.0,0.0,round5_candidate_21.py,portal,PANEL,other
PANEL_1X4,0.0,0.0,0.0,round5_candidate_21.py,portal,PANEL,other
PANEL_2X2,0.0,0.0,0.0,round5_candidate_21.py,portal,PANEL,other
PANEL_2X4,0.0,0.0,0.0,round5_candidate_21.py,portal,PANEL,unresolved_non_pebbles
PANEL_4X4,0.0,0.0,0.0,round5_candidate_21.py,portal,PANEL,other
PEBBLES_L,0.0,0.0,0.0,round5_candidate_21.py,portal,PEBBLES,pebbles
PEBBLES_M,0.0,0.0,0.0,round5_candidate_21.py,portal,PEBBLES,pebbles
PEBBLES_S,0.0,0.0,0.0,round5_candidate_21.py,portal,PEBBLES,pebbles
PEBBLES_XL,0.0,0.0,0.0,round5_candidate_21.py,portal,PEBBLES,pebbles
PEBBLES_XS,0.0,0.0,0.0,round5_candidate_21.py,portal,PEBBLES,pebbles
ROBOT_DISHES,0.0,0.0,0.0,round5_candidate_21.py,portal,ROBOT,other
ROBOT_IRONING,-1300.0,-6.0,2636.0,round5_candidate_21.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_LAUNDRY,-781.0,-21.5,1213.0,round5_candidate_21.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_MOPPING,0.0,0.0,0.0,round5_candidate_21.py,portal,ROBOT,unresolved_non_pebbles
ROBOT_VACUUMING,0.0,0.0,0.0,round5_candidate_21.py,portal,ROBOT,other
SLEEP_POD_COTTON,0.0,0.0,0.0,round5_candidate_21.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_LAMB_WOOL,0.0,0.0,0.0,round5_candidate_21.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_NYLON,0.0,0.0,0.0,round5_candidate_21.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_POLYESTER,0.0,0.0,0.0,round5_candidate_21.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_SUEDE,-1346.5,-323.5,3047.0,round5_candidate_21.py,portal,SLEEP_POD,long_horizon_non_pebbles
SNACKPACK_CHOCOLATE,0.0,0.0,0.0,round5_candidate_21.py,portal,SNACKPACK,other
SNACKPACK_PISTACHIO,0.0,0.0,0.0,round5_candidate_21.py,portal,SNACKPACK,other
SNACKPACK_RASPBERRY,0.0,0.0,0.0,round5_candidate_21.py,portal,SNACKPACK,other
SNACKPACK_STRAWBERRY,0.0,0.0,0.0,round5_candidate_21.py,portal,SNACKPACK,other
SNACKPACK_VANILLA,0.0,0.0,0.0,round5_candidate_21.py,portal,SNACKPACK,other
TRANSLATOR_ASTRO_BLACK,0.0,0.0,0.0,round5_candidate_21.py,portal,TRANSLATOR,other
TRANSLATOR_ECLIPSE_CHARCOAL,0.0,0.0,0.0,round5_candidate_21.py,portal,TRANSLATOR,other
TRANSLATOR_GRAPHITE_MIST,0.0,0.0,0.0,round5_candidate_21.py,portal,TRANSLATOR,unresolved_non_pebbles
TRANSLATOR_SPACE_GRAY,0.0,0.0,0.0,round5_candidate_21.py,portal,TRANSLATOR,other
TRANSLATOR_VOID_BLUE,0.0,0.0,0.0,round5_candidate_21.py,portal,TRANSLATOR,unresolved_non_pebbles
UV_VISOR_AMBER,-1171.0,-6.0,1390.5,round5_candidate_21.py,portal,UV_VISOR,long_horizon_non_pebbles
UV_VISOR_MAGENTA,0.0,0.0,0.0,round5_candidate_21.py,portal,UV_VISOR,other
UV_VISOR_ORANGE,0.0,0.0,0.0,round5_candidate_21.py,portal,UV_VISOR,unresolved_non_pebbles
UV_VISOR_RED,0.0,0.0,0.0,round5_candidate_21.py,portal,UV_VISOR,other
UV_VISOR_YELLOW,0.0,0.0,0.0,round5_candidate_21.py,portal,UV_VISOR,other
GALAXY_SOUNDS_BLACK_HOLES,0.0,0.0,0.0,round5_candidate_21.py,full,GALAXY_SOUNDS,other
GALAXY_SOUNDS_DARK_MATTER,0.0,0.0,0.0,round5_candidate_21.py,full,GALAXY_SOUNDS,other
GALAXY_SOUNDS_PLANETARY_RINGS,-7129.5,-2497.0,29512.0,round5_candidate_21.py,full,GALAXY_SOUNDS,long_horizon_non_pebbles
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,round5_candidate_21.py,full,GALAXY_SOUNDS,other
GALAXY_SOUNDS_SOLAR_WINDS,0.0,0.0,0.0,round5_candidate_21.py,full,GALAXY_SOUNDS,other
MICROCHIP_CIRCLE,0.0,0.0,0.0,round5_candidate_21.py,full,MICROCHIP,other
MICROCHIP_OVAL,-18287.0,-12922.0,5365.0,round5_candidate_21.py,full,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_RECTANGLE,0.0,0.0,0.0,round5_candidate_21.py,full,MICROCHIP,unresolved_non_pebbles
MICROCHIP_SQUARE,-30638.0,-21735.0,10442.5,round5_candidate_21.py,full,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,-10075.0,-3644.0,8540.0,round5_candidate_21.py,full,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_CHOCOLATE,0.0,0.0,0.0,round5_candidate_21.py,full,OXYGEN_SHAKE,other
OXYGEN_SHAKE_EVENING_BREATH,-9802.0,-2317.0,10041.0,round5_candidate_21.py,full,OXYGEN_SHAKE,long_horizon_non_pebbles
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,round5_candidate_21.py,full,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,round5_candidate_21.py,full,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MORNING_BREATH,0.0,0.0,0.0,round5_candidate_21.py,full,OXYGEN_SHAKE,other
PANEL_1X2,0.0,0.0,0.0,round5_candidate_21.py,full,PANEL,other
PANEL_1X4,0.0,0.0,0.0,round5_candidate_21.py,full,PANEL,other
PANEL_2X2,0.0,0.0,0.0,round5_candidate_21.py,full,PANEL,other
PANEL_2X4,0.0,0.0,0.0,round5_candidate_21.py,full,PANEL,unresolved_non_pebbles
PANEL_4X4,0.0,0.0,0.0,round5_candidate_21.py,full,PANEL,other
PEBBLES_L,0.0,0.0,0.0,round5_candidate_21.py,full,PEBBLES,pebbles
PEBBLES_M,0.0,0.0,0.0,round5_candidate_21.py,full,PEBBLES,pebbles
PEBBLES_S,0.0,0.0,0.0,round5_candidate_21.py,full,PEBBLES,pebbles
PEBBLES_XL,0.0,0.0,0.0,round5_candidate_21.py,full,PEBBLES,pebbles
PEBBLES_XS,0.0,0.0,0.0,round5_candidate_21.py,full,PEBBLES,pebbles
ROBOT_DISHES,0.0,0.0,0.0,round5_candidate_21.py,full,ROBOT,other
ROBOT_IRONING,-6761.0,-1866.0,22858.0,round5_candidate_21.py,full,ROBOT,long_horizon_non_pebbles
ROBOT_LAUNDRY,-9243.5,-4903.5,4340.0,round5_candidate_21.py,full,ROBOT,long_horizon_non_pebbles
ROBOT_MOPPING,0.0,0.0,0.0,round5_candidate_21.py,full,ROBOT,unresolved_non_pebbles
ROBOT_VACUUMING,0.0,0.0,0.0,round5_candidate_21.py,full,ROBOT,other
SLEEP_POD_COTTON,0.0,0.0,0.0,round5_candidate_21.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_LAMB_WOOL,0.0,0.0,0.0,round5_candidate_21.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_NYLON,0.0,0.0,0.0,round5_candidate_21.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_POLYESTER,0.0,0.0,0.0,round5_candidate_21.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_SUEDE,-12277.0,-4614.0,9922.0,round5_candidate_21.py,full,SLEEP_POD,long_horizon_non_pebbles
SNACKPACK_CHOCOLATE,0.0,0.0,0.0,round5_candidate_21.py,full,SNACKPACK,other
SNACKPACK_PISTACHIO,0.0,0.0,0.0,round5_candidate_21.py,full,SNACKPACK,other
SNACKPACK_RASPBERRY,0.0,0.0,0.0,round5_candidate_21.py,full,SNACKPACK,other
SNACKPACK_STRAWBERRY,0.0,0.0,0.0,round5_candidate_21.py,full,SNACKPACK,other
SNACKPACK_VANILLA,0.0,0.0,0.0,round5_candidate_21.py,full,SNACKPACK,other
TRANSLATOR_ASTRO_BLACK,0.0,0.0,0.0,round5_candidate_21.py,full,TRANSLATOR,other
TRANSLATOR_ECLIPSE_CHARCOAL,0.0,0.0,0.0,round5_candidate_21.py,full,TRANSLATOR,other
TRANSLATOR_GRAPHITE_MIST,0.0,0.0,0.0,round5_candidate_21.py,full,TRANSLATOR,unresolved_non_pebbles
TRANSLATOR_SPACE_GRAY,0.0,0.0,0.0,round5_candidate_21.py,full,TRANSLATOR,other
TRANSLATOR_VOID_BLUE,0.0,0.0,0.0,round5_candidate_21.py,full,TRANSLATOR,unresolved_non_pebbles
UV_VISOR_AMBER,-10561.5,-1457.0,9561.5,round5_candidate_21.py,full,UV_VISOR,long_horizon_non_pebbles
UV_VISOR_MAGENTA,0.0,0.0,0.0,round5_candidate_21.py,full,UV_VISOR,other
UV_VISOR_ORANGE,0.0,0.0,0.0,round5_candidate_21.py,full,UV_VISOR,unresolved_non_pebbles
UV_VISOR_RED,0.0,0.0,0.0,round5_candidate_21.py,full,UV_VISOR,other
UV_VISOR_YELLOW,0.0,0.0,0.0,round5_candidate_21.py,full,UV_VISOR,other
GALAXY_SOUNDS_BLACK_HOLES,0.0,0.0,0.0,round5_candidate_22.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_DARK_MATTER,0.0,0.0,0.0,round5_candidate_22.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_PLANETARY_RINGS,0.0,0.0,0.0,round5_candidate_22.py,portal,GALAXY_SOUNDS,long_horizon_non_pebbles
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,round5_candidate_22.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_SOLAR_WINDS,0.0,0.0,0.0,round5_candidate_22.py,portal,GALAXY_SOUNDS,other
MICROCHIP_CIRCLE,0.0,0.0,0.0,round5_candidate_22.py,portal,MICROCHIP,other
MICROCHIP_OVAL,0.0,0.0,0.0,round5_candidate_22.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_RECTANGLE,-1530.0,-427.0,1848.0,round5_candidate_22.py,portal,MICROCHIP,unresolved_non_pebbles
MICROCHIP_SQUARE,0.0,0.0,0.0,round5_candidate_22.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,0.0,0.0,0.0,round5_candidate_22.py,portal,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_CHOCOLATE,0.0,0.0,0.0,round5_candidate_22.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_EVENING_BREATH,0.0,0.0,0.0,round5_candidate_22.py,portal,OXYGEN_SHAKE,long_horizon_non_pebbles
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,round5_candidate_22.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,round5_candidate_22.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MORNING_BREATH,0.0,0.0,0.0,round5_candidate_22.py,portal,OXYGEN_SHAKE,other
PANEL_1X2,0.0,0.0,0.0,round5_candidate_22.py,portal,PANEL,other
PANEL_1X4,0.0,0.0,0.0,round5_candidate_22.py,portal,PANEL,other
PANEL_2X2,0.0,0.0,0.0,round5_candidate_22.py,portal,PANEL,other
PANEL_2X4,-702.5,-223.5,1833.0,round5_candidate_22.py,portal,PANEL,unresolved_non_pebbles
PANEL_4X4,0.0,0.0,0.0,round5_candidate_22.py,portal,PANEL,other
PEBBLES_L,0.0,0.0,0.0,round5_candidate_22.py,portal,PEBBLES,pebbles
