product,category,test_day,model,r2,pred_actual_corr,direction_accuracy
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,3,rf_depth4_lodo,-0.01198202815735483,0.010639699851141299,0.45174398916356245
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,4,ridge_lodo,1.8392775873787848e-05,0.045088170881611246,0.43613198301208755
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,4,rf_depth4_lodo,-0.000722229367377869,0.027999769334120676,0.44005227049983664
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,2,ridge_lodo,-0.0075034868879777505,-0.03332016686800293,0.4874587458745875
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,2,rf_depth4_lodo,-0.010732988485585127,-0.02057033283153653,0.4924092409240924
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3,ridge_lodo,-0.008405044585551913,-0.0071925010356153896,0.4853189335133311
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3,rf_depth4_lodo,-0.008183876917052357,0.02019486893964739,0.49173135335808305
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,4,ridge_lodo,-0.01219197485070711,-0.03598264981711432,0.4762221483205853
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,4,rf_depth4_lodo,-0.04344678283215009,-0.018295174716056593,0.4848686398403725
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,2,ridge_lodo,0.0020973517284089693,0.04981250093779184,0.5115511551155115
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,2,rf_depth4_lodo,-0.010599285595357388,-0.016476271709204654,0.49273927392739275
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,3,ridge_lodo,-0.007529657737278761,-0.002796859311302936,0.48295646304421197
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,3,rf_depth4_lodo,-0.011554199937466647,-0.052701608548258144,0.47620654741815727
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,4,ridge_lodo,-0.001614114885343687,0.0321272750901982,0.48985700033255736
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,4,rf_depth4_lodo,-0.015923994997063984,-0.06431586503521375,0.47921516461589625
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,2,ridge_lodo,-0.012243546693692764,0.003113193503054794,0.48052805280528055
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,2,rf_depth4_lodo,-0.016634593852231205,-0.019005082831499823,0.48085808580858086
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3,ridge_lodo,-0.005730966617989219,0.009691737416845555,0.4903813702328721
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3,rf_depth4_lodo,-0.0130786227490165,-0.028245409522161046,0.49173135335808305
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,4,ridge_lodo,-0.0017418885749880264,0.005598023368732816,0.4855337545726638
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,4,rf_depth4_lodo,-0.002726358896112391,0.004402473220865234,0.5014965081476555
PANEL_1X2,PANEL,2,ridge_lodo,-0.0027431596590890006,-0.00012040255492148241,0.5013201320132014
PANEL_1X2,PANEL,2,rf_depth4_lodo,-0.014406670135435506,-0.02790263999113939,0.4848184818481848
PANEL_1X2,PANEL,3,ridge_lodo,-0.005110268120076755,-0.00326119042180408,0.49611879851501856
PANEL_1X2,PANEL,3,rf_depth4_lodo,-0.008621237786451186,-0.009209653020722736,0.4913938575767803
PANEL_1X2,PANEL,4,ridge_lodo,-0.009532992789878847,-0.020701684585603376,0.47855004988360494
PANEL_1X2,PANEL,4,rf_depth4_lodo,-0.010673103174891452,-0.02086593106827853,0.5014965081476555
PANEL_1X4,PANEL,2,ridge_lodo,-0.006344524055368561,-0.01777839883508891,0.4801980198019802
PANEL_1X4,PANEL,2,rf_depth4_lodo,-0.0029750653125295567,0.01776916759705537,0.4891089108910891
PANEL_1X4,PANEL,3,ridge_lodo,-0.009378437662129535,-0.0018516057500734993,0.4940938238272022
PANEL_1X4,PANEL,3,rf_depth4_lodo,-0.006297475868076052,0.04227268052273034,0.49510631117111037
PANEL_1X4,PANEL,4,ridge_lodo,-0.006807502883826366,0.031194921298708267,0.5114732291320253
PANEL_1X4,PANEL,4,rf_depth4_lodo,-0.016682627503569192,0.0029280086186475375,0.4928500166278683
PANEL_2X2,PANEL,2,ridge_lodo,0.0005111834842949081,0.03183895379384048,0.5085808580858086
PANEL_2X2,PANEL,2,rf_depth4_lodo,0.0012952711328404476,0.044240978089330814,0.5128712871287129
PANEL_2X2,PANEL,3,ridge_lodo,0.002420313695365439,0.05003348396959442,0.5079311508606142
PANEL_2X2,PANEL,3,rf_depth4_lodo,0.0005128330968261485,0.03774542030764856,0.5075936550793115
PANEL_2X2,PANEL,4,ridge_lodo,-0.0062109894876174465,0.008274416882660443,0.4928500166278683
PANEL_2X2,PANEL,4,rf_depth4_lodo,-0.007497160540566261,0.014752672739631923,0.49052211506484866
PANEL_2X4,PANEL,2,ridge_lodo,-0.005190970848611087,-0.037627309641193214,0.5092409240924093
PANEL_2X4,PANEL,2,rf_depth4_lodo,-0.010998922672240674,-0.03487440485340398,0.49834983498349833
PANEL_2X4,PANEL,3,ridge_lodo,-0.007190137858103851,-0.014555535843100017,0.4822814714816065
PANEL_2X4,PANEL,3,rf_depth4_lodo,-0.007890598516792524,-0.016898141159986096,0.48700641241984477
PANEL_2X4,PANEL,4,ridge_lodo,-0.006894149720287457,-0.01671735758147812,0.4848686398403725
PANEL_2X4,PANEL,4,rf_depth4_lodo,-0.007266186092936611,-0.02805991252853679,0.4865314266711008
PANEL_4X4,PANEL,2,ridge_lodo,-0.005608003644040682,-0.04057941278002089,0.4735973597359736
PANEL_4X4,PANEL,2,rf_depth4_lodo,-0.007981010599210636,-0.04510935121117532,0.4755775577557756
PANEL_4X4,PANEL,3,ridge_lodo,-0.00650839403314718,-0.025651414481730382,0.48498143773202834
PANEL_4X4,PANEL,3,rf_depth4_lodo,-0.008656664837575434,-0.040617018507684045,0.4822814714816065
PANEL_4X4,PANEL,4,ridge_lodo,-0.006537376919977911,-0.03350361641173249,0.4878616561356834
PANEL_4X4,PANEL,4,rf_depth4_lodo,-0.00609192324216945,-0.026910995052199616,0.48087795144662454
PEBBLES_L,PEBBLES,2,ridge_lodo,-0.01319446697591209,-0.030333628271999282,0.463036303630363
PEBBLES_L,PEBBLES,2,rf_depth4_lodo,-0.00585900100032366,0.006096984639587597,0.4877887788778878
PEBBLES_L,PEBBLES,3,ridge_lodo,-0.0016459982009162655,0.03074670385923635,0.5210934863314208
PEBBLES_L,PEBBLES,3,rf_depth4_lodo,-0.004154543498911645,0.030275530244261988,0.4937563280458994
PEBBLES_L,PEBBLES,4,ridge_lodo,-0.0030466611144246425,0.0032165333091754337,0.5094778849351513
PEBBLES_L,PEBBLES,4,rf_depth4_lodo,-0.003760669601864386,0.012145148180842327,0.48752909876953776
PEBBLES_M,PEBBLES,2,ridge_lodo,-0.005380916496207089,0.03084184886701178,0.5089108910891089
PEBBLES_M,PEBBLES,2,rf_depth4_lodo,-0.005619866379300564,0.026993480882319287,0.5003300330033004
PEBBLES_M,PEBBLES,3,ridge_lodo,-0.002176139402714883,0.034067485475908356,0.4934188322645967
PEBBLES_M,PEBBLES,3,rf_depth4_lodo,-0.0020839522381608244,0.04246150488579887,0.5028687141410733
PEBBLES_M,PEBBLES,4,ridge_lodo,-0.005062768156812281,-0.0032114229521239945,0.5031592949783837
PEBBLES_M,PEBBLES,4,rf_depth4_lodo,-0.011147400665302065,-0.01815201952510066,0.4945128034585966
